# Portcard 		 FEC 	 tkFEC 		 ring 	 ccu 	 I2C_channel 	 Module 			 POH 	 module_channel 	 FED
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD3		 B1 	 27 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD3		 B2 	 27 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD4		 A1 	 26 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD4		 A2 	 26 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD4		 B1 	 25 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD4		 B2 	 25 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR1F_MOD1		 A1 	 15 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR1F_MOD1		 A2 	 15 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR1F_MOD2		 A1 	 16 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR1F_MOD2		 A2 	 16 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR1F_MOD3		 A1 	 13 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR1F_MOD3		 A2 	 13 			 1261
